collection,species,occurrences
Aquadesk,mediterraneum,61
Aquadesk,moorei,61
Aquadesk,decussatus,61
Aquadesk,compressum,60
Aquadesk,nucleus,60
Aquadesk,yashimaense,60
Aquadesk,abietina,60
VIS,kitt,60
Aquadesk,obesum,59
Aquadesk,hendeyi,59
Aquadesk,antiqua,59
Aquadesk,modesta,59
Aquadesk,scandinavicus,58
Aquadesk,ulna,58
Aquadesk,stellaris,58
Aquadesk,suecica,57
Aquadesk,subpacifica,56
Aquadesk,marmoreus,55
Aquadesk,maximus,55
Aquadesk,dunerificta,55
Aquadesk,foliaceum,54
Aquadesk,villosiuscula,54
Aquadesk,simplex,54
Aquadesk,zetlandica,54
Aquadesk,spinulosa,54
Aquadesk,malleus,53
Aquadesk,caecula,53
Aquadesk,sprattus,53
Aquadesk,laminosa,53
Aquadesk,oxycephala,53
VIS,reticulatus,52
Aquadesk,arctica,52
Aquadesk,panicea,52
Aquadesk,tetracerus,51
Aquadesk,nitidus,51
WMR,gibba,51
Aquadesk,brasiliensis,50
Aquadesk,vejdovskyi,50
Aquadesk,tripunctata,50
Aquadesk,jeffreysi,49
Aquadesk,minutus,49
Aquadesk,auricularia,49
Aquadesk,dubius,49
Aquadesk,balanoglossoides,49
Aquadesk,pellucida,48
Aquadesk,septentrionalis,48
Aquadesk,convolutus,48
Aquadesk,ljungmani,48
Aquadesk,lactea,48
Aquadesk,centralis,48
WMR,crassum,48
Aquadesk,lankesteri,47
Aquadesk,asymmetrica,47
Aquadesk,aestuarina,46
Aquadesk,subaequa,46
Aquadesk,crinicornis,46
VIS,aurata,46
Aquadesk,longiseta,46
Aquadesk,adspersus,45
Aquadesk,scabrum,45
VIS,luteum,44
Aquadesk,copulata,44
Aquadesk,leiopygos,44
Aquadesk,commutata,44
VIS,bipunctatus,44
Aquadesk,buski,44
Aquadesk,stanfordi,44
Aquadesk,udekemianus,44
Aquadesk,ambigua,44
Aquadesk,crenulata,43
Aquadesk,crustulenta,43
Aquadesk,hilgendorfi,43
Aquadesk,gurnardus,43
Aquadesk,finmarchica,42
Aquadesk,frustulum,42
Aquadesk,neoastraea,42
Aquadesk,lloydi,42
Aquadesk,subsalsa,41
Aquadesk,pterochaeta,41
Aquadesk,graciloides,41
Aquadesk,nodosa,41
Aquadesk,lucifera,41
Aquadesk,huxleyi,41
Aquadesk,senegalensis,40
Aquadesk,zaddachi,40
Aquadesk,lunata,40
Aquadesk,bobretzkii,40
Aquadesk,diaphanum,39
Aquadesk,supinum,39
Aquadesk,salicaria,39
Aquadesk,filum,39
Aquadesk,inconstans,39
Aquadesk,geminata,39
Aquadesk,nitidulum,38
Aquadesk,intermedius,38
Aquadesk,planipes,37
Aquadesk,acus,37
Aquadesk,crassa,37
Aquadesk,obtusum,37
Aquadesk,hookeri,36
VIS,nebulosus,36
Aquadesk,dawsoni,36
Aquadesk,construens,36
Aquadesk,acicularis,36
Aquadesk,reniformis,36
Aquadesk,rotundatus,36
Aquadesk,longirostris,36
Aquadesk,formosum,36
Aquadesk,cordiformis,35
Aquadesk,xeprovala,35
Aquadesk,melolontha,35
Aquadesk,sigmoidea,35
Aquadesk,fragilarioides,35
Aquadesk,echiurus,34
Aquadesk,brachycephala,34
Aquadesk,patula,34
Aquadesk,niger,34
Aquadesk,pictus,34
Aquadesk,vipera,34
WMR,aculeata,34
WMR,marmoreus,34
Aquadesk,pavonina,33
Aquadesk,gigantea,33
Aquadesk,oblonga,33
